Water Pollution Search Results,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search Criteria: Year = 2018; Facility Name Like TYSON; Pollutant category = Wastewater Flow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Source,NPDES Permit Number,FRS ID,Facility Name,City,County,State,Major/Non-Major Status,Facility Latitude,Facility Longitude,SIC Code,4-Digit SIC Code,SIC Description,HUC 12 Code,Watershed Name,Average Daily Flow (MGD),Total Annual Flow (MMGal),Links to TRI ID,Contains Potential Outliers?,Count of EJ Indexes At or Above 80th Percentile (US - Block Group),Count of EJ Indexes At or Above 80th Percentile (State - Block Group),Count of EJ Indexes At or Above 80th Percentile (US - 1-mile maximum),Count of EJ Indexes At or Above 80th Percentile (State - 1-mile maximum),Count of Supplemental Indexes At or Above 80th Percentile (US - Block Group),Count of Supplemental Indexes At or Above 80th Percentile (State - Block Group),Count of Supplemental Indexes At or Above 80th Percentile (US - 1-mile maximum),Count of Supplemental Indexes At or Above 80th Percentile (State - 1-mile maximum),Percent People of Color (3 mi),Percent Low Income (3 mi),FRS Tribal Land Code,ICIS Tribal Land Flag,Within Spatial Tribal Boundary,FRS Spatially Derived Tribe,Population Density,Link to DFR
ICIS,AR0039268,1.10064E+11,"TYSON POULTRY, INC - CLARKSVILLE",CLARKSVILLE,JOHNSON,AR,Non-Major,35.444944,-93.48725,2015,2015,POULTRY SLAUGHTERING & PROCESS,1.11102E+11,Lower Spadra Creek,1.54719975,564.824658,,,5,9,5,9,8,10,8,10,37.95,58.09,N,N,N,,352.57,https://echo.epa.gov/detailed-facility-report?fid=AR0039268&sys=ICP
ICIS,GA0001074,1.1E+11,TYSON FOODS INC,CUMMING,FORSYTH,GA,Non-Major,34.19785,-84.146597,2015,2015,POULTRY SLAUGHTERING & PROCESS,31300011001,Headwaters Big Creek,1.280416667,467.562,,,0,0,3,0,0,0,7,4,32.82,17.61,N,N,N,,986.88,https://echo.epa.gov/detailed-facility-report?fid=GA0001074&sys=ICP
ICIS,TN0002135,1.1E+11,TYSON FOODS INC - PROCESSING,SHELBYVILLE,BEDFORD,TN,Major,35.479776,-86.475841,2015,2015,POULTRY SLAUGHTERING & PROCESS,60400020303,Duck River-Holland Creek,1.271333333,463.996,,,0,0,6,7,2,0,8,8,41.88,51.55,N,N,N,,698.53,https://echo.epa.gov/detailed-facility-report?fid=TN0002135&sys=ICP
ICIS,VA0004049,1.1E+11,TYSON FOODS INC - TEMPERANCEVILLE PLANT,TEMPERANCEVILLE,ACCOMACK,VA,Major,37.8917,-75.5658,254,254,POULTRY HATCHERIES,20403040101,Assawoman Inlet,1.01,437.653125,,,3,4,3,4,3,4,3,5,45.34,52.76,N,N,N,,91.88,https://echo.epa.gov/detailed-facility-report?fid=VA0004049&sys=ICP
ICIS,VAN040089,1.1E+11,"TYSON FARMS, INC., GLEN ALLEN, VA.",GLEN ALLEN,HANOVER,VA,Non-Major,37.697547,-77.552789,2015,2015,POULTRY SLAUGHTERING & PROCESS,20802060401,Grassy Swamp Creek-Chickahominy River,0.717916667,418.8928,,,0,0,0,0,0,0,0,1,33.9,8.62,N,N,N,Upper Mattaponi Tribe - 25 mile(s),880.17,https://echo.epa.gov/detailed-facility-report?fid=VAN040089&sys=ICP
ICIS,TN0073563,1.1E+11,TYSON FOODS INC UNION CITY PROCESSING,UNION CITY,OBION,TN,Non-Major,36.421667,-89.007778,2015,2015,POULTRY SLAUGHTERING & PROCESS,80102020208,North Fork Obion River Outlet,1.09725,399.769,,,3,4,3,4,2,2,3,3,37.52,52.15,N,N,N,,354.67,https://echo.epa.gov/detailed-facility-report?fid=TN0073563&sys=ICP
ICIS,AR0021326,1.10001E+11,TYSON FOODS - HOPE PROCESSING PLANT,HOPE,HEMPSTEAD,AR,Non-Major,33.740278,-93.614722,2015,2015,POULTRY SLAUGHTERING & PROCESS,1.11402E+11,Caney Creek-Bois d'Arc Creek,0.987583333,360.823,,,0,0,0,0,2,0,2,0,31.96,39.88,N,N,N,,17.2,https://echo.epa.gov/detailed-facility-report?fid=AR0021326&sys=ICP
ICIS,AR0041734,1.10021E+11,TYSON FOODS INC.-NASHVILLE,NASHVILLE,HOWARD,AR,Non-Major,33.927222,-93.845194,2015,2015,POULTRY SLAUGHTERING & PROCESS,1.11401E+11,Upper Mine Creek,0.475791667,347.018,,,9,12,9,12,9,10,9,10,49,51.53,N,N,N,,207.15,https://echo.epa.gov/detailed-facility-report?fid=AR0041734&sys=ICP
ICIS,NE0133868,1.10013E+11,TYSON FOODS,OMAHA,DOUGLAS,NE,Non-Major,41.20197,-96.1165,2013,2013,SAUSAGES & PREPARED MEAT PROD,1.023E+11,Hell Creek-West Papillion Creek,0.460625,336.154,,,0,0,1,8,0,2,3,8,16.4,17.7,N,N,N,Ponca Tribe of Nebraska - 12 mile(s),2879.93,https://echo.epa.gov/detailed-facility-report?fid=NE0133868&sys=ICP
ICIS,AR0036714,1.10059E+11,TYSON FOODS - DARDANELLE PLANT,DARDANELLE,YELL,AR,Non-Major,35.21675,-93.162389,2015,2015,POULTRY SLAUGHTERING & PROCESS,1.11102E+11,Long Lake-Harris Creek,0.9129625,333.22544,,,5,7,8,9,9,10,9,10,27.63,44.41,N,N,N,,235.49,https://echo.epa.gov/detailed-facility-report?fid=AR0036714&sys=ICP
ICIS,FL0027511,1.10019E+11,CITY OF ARCADIA - WILLIAM TYSON WWTP,ARCADIA,DE SOTO,FL,Major,27.2171646,-81.8739734,4952,4952,SEWERAGE SYSTEMS,31001010905,Johnson Lake-Peace River,0.90225,330.12,,,4,5,4,5,6,5,7,5,61.98,65.18,N,N,N,,617.8,https://echo.epa.gov/detailed-facility-report?fid=FL0027511&sys=ICP
ICIS,AR0038482,1.10033E+11,TYSON FOODS - WALDRON PROCESSING,WALDRON,SCOTT,AR,Non-Major,34.902944,-94.101167,2015,2015,POULTRY SLAUGHTERING & PROCESS,1.11101E+11,Bull Creek-Poteau River,0.898591667,327.9807,,,0,0,2,5,3,4,5,7,20.78,53.55,N,N,N,The Choctaw Nation of Oklahoma - 20 mile(s),163.57,https://echo.epa.gov/detailed-facility-report?fid=AR0038482&sys=ICP
ICIS,PA0035092,1.10011E+11,TYSON FOODS NEW HOLLAND COMPLEX,NEW HOLLAND,LANCASTER,PA,Non-Major,40.081583,-76.087778,2015,2015,POULTRY SLAUGHTERING & PROCESS,20503061106,Muddy Run-Mill Creek,0.775243733,282.9906298,,,0,0,0,5,0,1,4,5,9.7,24.58,N,N,N,,489.69,https://echo.epa.gov/detailed-facility-report?fid=PA0035092&sys=ICP
ICIS,AR0042455,1.10007E+11,TYSON FOODS - RIVER VALLEY ANIMAL FOODS,SCRANTON,LOGAN,AR,Non-Major,35.383306,-93.569528,2077,2077,ANIMAL AND MARINE FATS & OILS,1.11102E+11,Cane Creek-Arkansas River,0.596491417,217.640565,,,0,0,3,4,0,0,5,6,17.61,38.17,N,N,N,,35.79,https://echo.epa.gov/detailed-facility-report?fid=AR0042455&sys=ICP
ICIS,AR0003018,1.10002E+11,TYSON FOODS - GRANNIS PROCESSING PLANT,GRANNIS,POLK,AR,Non-Major,34.237306,-94.342306,2015,2015,POULTRY SLAUGHTERING & PROCESS,1.11401E+11,Rolling Fork,0.595116667,217.08,,,0,1,2,3,1,2,4,5,25.05,52.03,N,N,N,The Choctaw Nation of Oklahoma - 8 mile(s),25.53,https://echo.epa.gov/detailed-facility-report?fid=AR0003018&sys=ICP
ICIS,MS0046931,1.10002E+11,"TYSON FARMS, INC., DBA RIVER                   VALLEY INGREDIENTS",FOREST,SCOTT,MS,Major,32.362972,-89.539806,2048,2048,PREP FEEDS & INGRED FOR ANIMA,31800011001,Shockaloo Creek,0.455,165.637,,,4,1,4,1,2,1,5,3,38.71,28.07,N,N,N,Mississippi Band of Choctaw Indians - 14 mile(s),24.44,https://echo.epa.gov/detailed-facility-report?fid=MS0046931&sys=ICP
ICIS,AR0048356,1.10025E+11,TYSON FOODS - RIVER VALLEY ANIMAL FOODS,TEXARKANA,MILLER,AR,Non-Major,33.533861,-93.80675,2077,2077,ANIMAL AND MARINE FATS & OILS,1.11402E+11,Bois d'Arc Bayou,0.316416667,115.094,,,0,0,3,4,2,1,4,5,25.79,40,N,N,N,,0.76,https://echo.epa.gov/detailed-facility-report?fid=AR0048356&sys=ICP
ICIS,NC0005126,1.10001E+11,"TYSON FARMS, INC.",HARMONY,IREDELL,NC,Non-Major,35.9556,-80.72155,2047,2047,DOG AND CAT FOOD,30401020205,Middle Hunting Creek,0.199175,72.571,,,0,0,0,0,0,0,0,0,19.04,24.87,N,N,N,,81.22,https://echo.epa.gov/detailed-facility-report?fid=NC0005126&sys=ICP
ICIS,MO0130184,1.10001E+11,TYSON FOODS INC-MONETT,MONETT,BARRY,MO,Non-Major,36.9161703,-93.913997,2015,2015,POULTRY SLAUGHTERING & PROCESS,1.10702E+11,Headwaters Clear Creek,0.0370595,40.481969,,,1,2,5,9,1,1,8,9,31.34,42.64,N,N,N,,373.82,https://echo.epa.gov/detailed-facility-report?fid=MO0130184&sys=ICP
ICIS,KYR003449,1.1004E+11,TYSON FOODS FEED MILL,SEBREE,WEBSTER,KY,Non-Major,37.629536,-87.528594,2048,2048,PREP FEEDS & INGRED FOR ANIMA,51100050401,Groves Creek,0.0765,28.047,,,2,5,2,5,3,3,3,3,25.16,39.61,N,N,N,,76.74,https://echo.epa.gov/detailed-facility-report?fid=KYR003449&sys=ICP
ICIS,MO0129798,1.10001E+11,TYSON FOODS INC,DEXTER,STODDARD,MO,Non-Major,36.7934972,-89.942804,2015,2015,POULTRY SLAUGHTERING & PROCESS,80202040502,Main Ditch,0.035525,25.921,,,2,5,2,6,5,6,7,8,5.84,46.42,N,N,N,,350.43,https://echo.epa.gov/detailed-facility-report?fid=MO0129798&sys=ICP
ICIS,AL0002810,1.1001E+11,TYSON FOODS INC. HEFLIN PROCESSING PLANT,HEFLIN,CLEBURNE,AL,Non-Major,33.5582,-85.614,2015,2015,POULTRY SLAUGHTERING & PROCESS,31501081004,Carr Creek-Cedar Creek,0.0329,23.9306,,,0,0,0,0,4,0,4,0,10.13,37.58,N,N,N,,39.04,https://echo.epa.gov/detailed-facility-report?fid=AL0002810&sys=ICP
ICIS,KYR003443,1.10001E+11,"TYSON CHICKEN INC. ROBARDS, KY.",ROBARDS,HENDERSON,KY,Non-Major,37.655579,-87.515811,2048,2048,PREP FEEDS & INGRED FOR ANIMA,51100050401,Groves Creek,0.009583333,21.079,,,0,0,2,5,0,0,3,3,17.84,27.63,N,N,N,,36.74,https://echo.epa.gov/detailed-facility-report?fid=KYR003443&sys=ICP
ICIS,VA0090131,1.10071E+11,TYSON FOODS,JETERSVILLE,AMELIA COUNTY,VA,Non-Major,37.264444,-78.136111,2048,2048,PREP FEEDS & INGRED FOR ANIMA,20802070703,West Creek,0.0053325,1.92936,,Y,0,0,0,0,0,0,0,1,17.78,20.89,N,N,N,,29.31,https://echo.epa.gov/detailed-facility-report?fid=VA0090131&sys=ICP
ICIS,ALG150011,1.10012E+11,"TYSON FARMS, INC.",ATTALLA,ETOWAH,AL,Non-Major,34.045694,-86.159917,2048,2048,PREP FEEDS & INGRED FOR ANIMA,31501060105,Line Creek-Clear Creek,0.00233225,0.851404,,,0,0,4,1,3,0,6,5,7.76,45.25,N,N,N,,87.92,https://echo.epa.gov/detailed-facility-report?fid=ALG150011&sys=ICP
ICIS,ARG250024,1.10071E+11,"TYSON CHICKEN, INC.- SOUTHWEST ARKANSAS REGIONAL FEED MILL",FULTON,HEMPSTEAD,AR,Non-Major,33.672944,-93.770056,2048,2048,PREP FEEDS & INGRED FOR ANIMA,1.11402E+11,Bridge Creek,0,0,,,4,5,4,5,3,3,5,6,41.64,52.34,N,N,N,,4.92,https://echo.epa.gov/detailed-facility-report?fid=ARG250024&sys=ICP
ICIS,LAG541635,1.10037E+11,TYSON MHP,WEST MONROE,OUACHITA,LA,Non-Major,32.481579,-92.174202,6515,6515,OPER OF RES MOBILE HOME SITES,80402070103,Cheniere Lake-Cheniere Creek,0,0,,,4,4,5,5,7,6,7,7,37.1,47.68,N,N,N,,771.36,https://echo.epa.gov/detailed-facility-report?fid=LAG541635&sys=ICP
ICIS,GA0000817,1.10001E+11,TYSON FOODS INCORPORATED BUENA VISTA GEORGIA,BUENA VISTA,MARION,GA,Non-Major,32.309856,-84.504718,2015,2015,POULTRY SLAUGHTERING & PROCESS,31300070701,Walker Williams Lakes-Muckalee Creek,0,0,,,4,2,4,2,3,1,3,1,68.06,42.87,N,N,N,,102.99,https://echo.epa.gov/detailed-facility-report?fid=GA0000817&sys=ICP
ICIS,MO0095290,1.10007E+11,TYSON POULTRY INC SEDALIA SERVICE CENTER,SEDALIA,PETTIS,MO,Non-Major,38.7519169,-93.330472,4226,4226,SPECIAL WAREHOUSING & STORAGE,1.03001E+11,Little Muddy Creek,0,0,,,0,0,0,0,0,0,0,0,6.65,26.84,N,N,N,,22.81,https://echo.epa.gov/detailed-facility-report?fid=MO0095290&sys=ICP
ICIS,VAG830552,1.10071E+11,TYSONS CENTRAL OFFICE BUILDING A,TYSONS,AUGUSTA COUNTY,VA,Non-Major,38.920443,-77.231847,1794,1794,EXCAVATION WORK,20700081004,Difficult Run,0,0,,,0,0,4,7,0,0,4,7,43.79,9.45,N,N,N,,3349.05,https://echo.epa.gov/detailed-facility-report?fid=VAG830552&sys=ICP
ICIS,VAG408522,1.10071E+11,BROWN TYSON RESIDENCE,CLEAR BROOK,FREDERICK COUNTY,VA,Non-Major,39.271463,-78.113441,4952,4952,SEWERAGE SYSTEMS,20700040904,Turkey Run-Opequon Creek,0,0,,,0,0,0,0,0,0,0,0,9.7,15.01,N,N,N,,168.09,https://echo.epa.gov/detailed-facility-report?fid=VAG408522&sys=ICP
ICIS,ALG140566,1.10013E+11,"TYSON FOODS, INC. - ALBERTVILLE TRUCK SHOP",ALBERTVILLE,MARSHALL,AL,Non-Major,34.26625,-86.191,2015,2015,POULTRY SLAUGHTERING & PROCESS,60300010805,Drum Creek-Short Creek,,,,,0,0,11,7,8,5,11,9,40.14,50.19,N,N,N,,757.76,https://echo.epa.gov/detailed-facility-report?fid=ALG140566&sys=ICP
ICIS,IA0002089,1.10016E+11,TYSON FRESH MEATS INC,PERRY,DALLAS,IA,Major,41.83841,-94.12587,2011,2011,MEAT PACKING PLANTS,71000061503,Frog Creek-North Raccoon River,,,,,2,10,2,10,5,10,5,10,37.14,43.54,N,N,N,,293.98,https://echo.epa.gov/detailed-facility-report?fid=IA0002089&sys=ICP
ICIS,IA0064998,1.10001E+11,TYSON FRESH MEATS INC,STORM LAKE,BUENA VISTA,IA,Major,42.63981,-95.18749,2011,2011,MEAT PACKING PLANTS,71000060307,Outlet Creek,,,,,3,6,5,7,4,6,5,7,63.03,41.24,N,N,N,,497.45,https://echo.epa.gov/detailed-facility-report?fid=IA0064998&sys=ICP
ICIS,ALG150014,1.10001E+11,TYSON CHICKEN--ALBERTVILLE FEED MILL,ALBERTVILLE,MARSHALL,AL,Non-Major,34.287574,-86.21717,2048,2048,PREP FEEDS & INGRED FOR ANIMA,60300010805,Drum Creek-Short Creek,,,,,0,0,11,7,2,2,11,9,35.73,47.48,N,N,N,,676.09,https://echo.epa.gov/detailed-facility-report?fid=ALG150014&sys=ICP
ICIS,WAR001131,1.10001E+11,TYSON FRESH MEATS,WALLULA,WALLA WALLA,WA,Non-Major,46.1396599,-118.912247,2011,2011,MEAT PACKING PLANTS,1.70701E+11,Burbank Slough-Lake Wallula,,,,,0,1,0,1,0,1,0,1,28.83,35.78,N,N,N,Confederated Tribes of the Umatilla Indian Reservation - 21 mile(s),3.21,https://echo.epa.gov/detailed-facility-report?fid=WAR001131&sys=ICP
ICIS,WVG611139,1.10018E+11,TYSONS TREE WOOD RECYCLERS,RIPPON,JEFFERSON,WV,Non-Major,39.1942,-77.9219,2421,2421,"SAWMILLS & PLANING MILLS, GEN",20700070203,Long Marsh Run,,,,,0,0,0,0,0,0,0,0,12.1,9.99,N,N,N,,63.13,https://echo.epa.gov/detailed-facility-report?fid=WVG611139&sys=ICP
ICIS,ALG150007,1.1E+11,TYSON FARMS INC,CULLMAN,CULLMAN,AL,Non-Major,34.147222,-86.826417,2048,2048,PREP FEEDS & INGRED FOR ANIMA,31601090106,Broglen River,,,,,0,0,0,0,0,0,3,0,8.04,24.7,N,N,N,,327.74,https://echo.epa.gov/detailed-facility-report?fid=ALG150007&sys=ICP
ICIS,IA0003361,1.10044E+11,TYSON FRESH MEATS,COLUMBUS JUNCTION,LOUISA,IA,Major,41.29462,-91.3581,2011,2011,MEAT PACKING PLANTS,70802090806,Prairie Creek-Iowa River,,,,,0,0,4,11,0,2,5,8,53.16,37.11,N,N,N,,114.31,https://echo.epa.gov/detailed-facility-report?fid=IA0003361&sys=ICP
